2026-04-15 00:07:57,710 | INFO | fastapi_app | checking product exists
2026-04-15 00:07:57,712 | INFO | fastapi_app | checking stock quanity
2026-04-15 00:07:57,713 | INFO | fastapi_app | 127.0.0.1 - "GET /chat" 200 (4.61ms)
2026-04-15 00:08:28,341 | INFO | fastapi_app | checking product exists
2026-04-15 00:08:28,343 | INFO | fastapi_app | checking stock quanity
2026-04-15 00:08:28,344 | INFO | fastapi_app | updating product inventory
2026-04-15 00:08:28,350 | INFO | fastapi_app | Creating order for product_id=1, quantity=1
2026-04-15 00:08:28,352 | INFO | fastapi_app | Log Order audit
2026-04-15 00:08:28,355 | INFO | fastapi_app | Sending email to customer@email.com
2026-04-15 00:08:28,355 | INFO | fastapi_app | 127.0.0.1 - "GET /chat" 200 (15.63ms)
2026-04-15 00:11:13,055 | INFO | fastapi_app | checking product exists
2026-04-15 00:11:15,097 | INFO | fastapi_app | checking stock quanity
2026-04-15 00:11:16,416 | INFO | fastapi_app | updating product inventory
2026-04-15 00:11:17,643 | INFO | fastapi_app | Creating order for product_id=1, quantity=1
2026-04-15 00:11:19,076 | INFO | fastapi_app | Log Order audit
2026-04-15 00:11:21,123 | INFO | fastapi_app | Log Order audit
2026-04-15 00:11:22,762 | INFO | fastapi_app | Sending email to customer@example.com
2026-04-15 00:11:24,394 | INFO | fastapi_app | 127.0.0.1 - "GET /chat" 200 (13922.79ms)
2026-04-15 00:12:40,579 | INFO | fastapi_app | checking product exists
2026-04-15 00:12:41,809 | INFO | fastapi_app | checking stock quanity
2026-04-15 00:12:42,831 | INFO | fastapi_app | updating product inventory
2026-04-15 00:12:43,763 | INFO | fastapi_app | Creating order for product_id=1, quantity=1
2026-04-15 00:12:45,391 | INFO | fastapi_app | Log Order audit
2026-04-15 00:12:46,723 | INFO | fastapi_app | Log Order audit
2026-04-15 00:12:48,156 | INFO | fastapi_app | Sending email to customer@example.com
2026-04-15 00:12:49,590 | INFO | fastapi_app | 127.0.0.1 - "GET /chat" 200 (10596.80ms)
2026-04-15 00:13:14,950 | INFO | fastapi_app | checking product exists
2026-04-15 00:13:14,953 | INFO | fastapi_app | checking stock quanity
2026-04-15 00:13:14,955 | INFO | fastapi_app | updating product inventory
2026-04-15 00:13:14,957 | INFO | fastapi_app | Creating order for product_id=1, quantity=1
2026-04-15 00:13:14,959 | INFO | fastapi_app | Log Order audit
2026-04-15 00:13:14,961 | INFO | fastapi_app | Sending email to customer@email.com
2026-04-15 00:13:14,962 | INFO | fastapi_app | 127.0.0.1 - "GET /chat" 200 (14.55ms)
